"","STUDENTID","AGE","GENDER","HS_TYPE","SCHOLARSHIP","WORK","ACTIVITY","PARTNER","SALARY","TRANSPORT","LIVING","MOTHER_EDU","FATHER_EDU","X._SIBLINGS","KIDS","MOTHER_JOB","FATHER_JOB","STUDY_HRS","READ_FREQ","READ_FREQ_SCI","ATTEND_DEPT","IMPACT","ATTEND","PREP_STUDY","PREP_EXAM","NOTES","LISTENS","LIKES_DISCUSS","CLASSROOM","CUML_GPA","EXP_GPA","COURSE.ID","GRADE"
"235","STUDENT235","18-22 yrs","Female","Private","Full","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","Undergraduate","2","None","Laborer","Laborer","3 to 5","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Often","Never","Often","Noisy","2.5-3.0","2.0-2.5",1,"C+"
"236","STUDENT236","18-22 yrs","Male","Public","Full","Yes","No","No","<RS.20k","Private","House","Secondary","Secondary","0","None","Manager","Laborer","5 to 7","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Often","Sometimes","Noisy","3.0-3.5","<2.0",1,"C"
"237","STUDENT237","18-22 yrs","Female","Private","Need-based","No","No","No","<RS.20k","Public","Apartment","High School","No Schooling","4+","None","Laborer","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Often","Often","Moderate",">3.5","2.5-3.0",1,"D"
"238","STUDENT238","<18 yrs","Female","Public","Full","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","High School","3","None","Clerk","Laborer","less than 1","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Often","Noisy","2.0-2.5","3.0-3.5",1,"C"
"239","STUDENT239","<18 yrs","Female","Public","None","No","Yes","No","<RS.20k","Public","Apartment","No Schooling","Primary","3","None","Laborer","Clerk","less than 1","Sometimes","Never","Never","Low","Regular","High","Low","Often","Often","Often","Moderate","2.0-2.5","2.5-3.0",1,"B+"
"240","STUDENT240","18-22 yrs","Female","Public","Full","Yes","Yes","No","<RS.20k","Public","Dorm","Secondary","Primary","4+","None","Laborer","Professional","less than 1","Sometimes","Often","Never","Low","Regular","Moderate","Low","Often","Sometimes","Sometimes","Noisy",">3.5","2.5-3.0",1,"C"
"241","STUDENT241","<18 yrs","Female","Private","Need-based","No","No","No","<RS.20k","Private","House","Secondary","High School","0","None","Laborer","Unemployed","5 to 7","Sometimes","Often","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Quiet","3.0-3.5","2.0-2.5",1,"C+"
"242","STUDENT242","<18 yrs","Female","Public","Merit","Yes","No","No","<RS.20k","Private","House","Primary","Primary","2","None","Manager","Laborer","3 to 5","Often","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Often","Moderate","2.0-2.5","2.5-3.0",1,"B+"
"243","STUDENT243","<18 yrs","Female","Home School","Merit","No","Yes","Yes","<RS.20k","Public","House","Secondary","Secondary","3","None","Laborer","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Quiet","2.5-3.0","2.0-2.5",1,"D"
"244","STUDENT244","<18 yrs","Female","Public","Merit","Yes","No","Yes","<RS.20k","Walk","Apartment","Primary","High School","1","None","Laborer","Professional","5 to 7","Often","Sometimes","Never","Low","Regular","Moderate","Low","Often","Never","Sometimes","Quiet","3.0-3.5","2.0-2.5",1,"B"
"245","STUDENT245","18-22 yrs","Female","Home School","Full","Yes","Yes","Yes","<RS.20k","Walk","Apartment","Secondary","High School","1","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Moderate","2.0-2.5","<2.0",1,"B"
"246","STUDENT246","<18 yrs","Female","Private","Merit","Yes","Yes","Yes","<RS.20k","Private","House","High School","No Schooling","1","None","Clerk","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","2.5-3.0","2.0-2.5",1,"C"
"247","STUDENT247","<18 yrs","Female","Public","Merit","Yes","Yes","No","RS.20k-RS.40k","Public","House","Primary","Secondary","0","None","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Quiet","2.0-2.5","<2.0",1,"B+"
"248","STUDENT248","<18 yrs","Female","Private","Full","Yes","Yes","No","<RS.20k","Public","Apartment","Secondary","No Schooling","0","One","Manager","Manager","5 to 7","Sometimes","Sometimes","Often","Low","Regular","High","Low","Often","Never","Sometimes","Quiet","2.5-3.0","3.0-3.5",1,"C+"
"249","STUDENT249","<18 yrs","Female","Public","Merit","Yes","Yes","No",">RS.80k","Public","Apartment","No Schooling","Secondary","3","None","Laborer","Unemployed","1 to 3","Often","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Often","Moderate","3.0-3.5","2.0-2.5",1,"D"
"250","STUDENT250","<18 yrs","Male","Private","Full","Yes","Yes","Yes","<RS.20k","Private","Apartment","High School","High School","0","None","Clerk","Laborer","3 to 5","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Often","Sometimes","Moderate","<2.0","3.0-3.5",1,"C+"
"251","STUDENT251","<18 yrs","Female","Home School","Merit","No","No","Yes","<RS.20k","Public","Dorm","Primary","Primary","3","None","Laborer","Manager","less than 1","Often","Sometimes","Never","Low","Irregular","High","Moderate","Sometimes","Never","Often","Quiet","2.5-3.0","2.5-3.0",1,"C+"
"252","STUDENT252","<18 yrs","Female","Home School","Merit","Yes","No","Yes","<RS.20k","Public","Apartment","Primary","Primary","0","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","Moderate","Sometimes","Sometimes","Sometimes","Quiet","3.0-3.5","<2.0",1,"B+"
"253","STUDENT253","<18 yrs","Male","Home School","Merit","No","No","Yes","<RS.20k","Public","House","No Schooling","Secondary","4+","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Often","Sometimes","Quiet","3.0-3.5","3.0-3.5",1,"C"
"254","STUDENT254","18-22 yrs","Male","Public","Need-based","Yes","No","Yes","RS.20k-RS.40k","Private","Dorm","No Schooling","Primary","0","More than 1","Unemployed","Professional","3 to 5","Often","Sometimes","Never","Low","Irregular","Moderate","Low","Sometimes","Often","Never","Moderate","2.5-3.0","3.0-3.5",1,"B"
"255","STUDENT255","<18 yrs","Female","Private","Full","Yes","No","No","<RS.20k","Private","Apartment","High School","High School","1","More than 1","Laborer","Professional","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","Moderate","Often","Sometimes","Often","Quiet","3.0-3.5","3.0-3.5",1,"B"
"256","STUDENT256","18-22 yrs","Female","Home School","Full","Yes","Yes","Yes","RS.20k-RS.40k","Walk","Apartment","High School","High School","1","One","Unemployed","Professional","3 to 5","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","2.0-2.5","2.0-2.5",1,"B"
"257","STUDENT257","<18 yrs","Male","Public","Need-based","Yes","No","Yes","<RS.20k","Public","Apartment","Secondary","Secondary","0","None","Clerk","Laborer","3 to 5","Sometimes","Sometimes","Often","Moderate","Regular","High","Low","Often","Never","Often","Noisy","3.0-3.5","2.5-3.0",1,"B"
"258","STUDENT258","18-22 yrs","Male","Home School","Full","No","Yes","Yes","<RS.20k","Bike","House","No Schooling","No Schooling","1","None","Laborer","Unemployed","1 to 3","Never","Never","Often","High","Regular","High","Low","Often","Often","Often","Quiet","3.0-3.5","3.0-3.5",1,"B"
"259","STUDENT259","18-22 yrs","Male","Home School","Full","Yes","Yes","Yes","<RS.20k","Walk","Apartment","High School","High School","0","None","Clerk","Laborer","3 to 5","Sometimes","Often","Often","High","Irregular","Low","Low","Sometimes","Sometimes","Never","Quiet","<2.0","2.0-2.5",1,"D"
"260","STUDENT260","18-22 yrs","Male","Public","Need-based","No","No","Yes","RS.60k-RS.80k","Public","Dorm","No Schooling","No Schooling","0","None","Laborer","Unemployed","3 to 5","Sometimes","Sometimes","Often","Moderate","Regular","Low","Low","Sometimes","Sometimes","Never","Moderate","<2.0","2.0-2.5",1,"B"
"261","STUDENT261","18-22 yrs","Male","Home School","Need-based","No","Yes","No","<RS.20k","Public","Dorm","No Schooling","No Schooling","1","None","Laborer","Laborer","5 to 7","Often","Sometimes","Often","High","Regular","Low","Moderate","Often","Sometimes","Often","Moderate","2.0-2.5","2.5-3.0",1,"C+"
"262","STUDENT262","18-22 yrs","Male","Home School","Need-based","Yes","Yes","Yes","<RS.20k","Public","Dorm","No Schooling","No Schooling","4+","None","Laborer","Manager","less than 1","Often","Often","Often","Low","Regular","Low","Low","Often","Often","Often","Quiet","2.0-2.5","<2.0",1,"C"
"263","STUDENT263",">20 yrs","Male","Home School","Full","Yes","No","Yes","<RS.20k","Public","Apartment","High School","High School","0","None","Unemployed","Clerk","less than 1","Sometimes","Often","Often","Low","Irregular","Moderate","Low","Sometimes","Often","Sometimes","Quiet","2.0-2.5","2.5-3.0",1,"D"
"264","STUDENT264","<18 yrs","Female","Home School","Need-based","Yes","No","No","<RS.20k","Walk","Apartment","No Schooling","Primary","2","None","Manager","Manager","3 to 5","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Often","Sometimes","Moderate","2.5-3.0","<2.0",1,"C+"
"265","STUDENT265","18-22 yrs","Male","Private","Merit","Yes","No","Yes","<RS.20k","Public","Apartment","Secondary","Secondary","1","More than 1","Laborer","Professional","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Moderate","Moderate","Sometimes","Sometimes","Often","Quiet","2.5-3.0","2.5-3.0",1,"B"
"266","STUDENT266","18-22 yrs","Male","Home School","Full","No","No","No","RS.20k-RS.40k","Private","House","Secondary","Secondary","1","None","Clerk","Manager","5 to 7","Never","Never","Never","Low","Irregular","High","Low","Often","Often","Often","Moderate","2.0-2.5","3.0-3.5",1,"D"
"267","STUDENT267","18-22 yrs","Male","Private","Full","No","No","No","<RS.20k","Private","Dorm","No Schooling","No Schooling","4+","More than 1","Laborer","Manager","5 to 7","Often","Often","Never","High","Regular","Low","Low","Never","Never","Never","Quiet","<2.0","3.0-3.5",1,"B"
"268","STUDENT268","<18 yrs","Female","Home School","Need-based","Yes","No","Yes","<RS.20k","Public","Dorm","Secondary","Secondary","1","None","Laborer","Unemployed","1 to 3","Never","Sometimes","Never","Moderate","Regular","Moderate","Low","Often","Sometimes","Sometimes","Quiet","3.0-3.5","3.0-3.5",1,"C+"
"269","STUDENT269","18-22 yrs","Male","Public","Full","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","Secondary","Primary","3","None","Unemployed","Unemployed","less than 1","Sometimes","Often","Often","Low","Regular","Moderate","Low","Often","Often","Sometimes","Quiet","<2.0","<2.0",1,"B+"
"270","STUDENT270","<18 yrs","Male","Private","Merit","No","No","No","<RS.20k","Public","House","Primary","Secondary","1","None","Manager","Clerk","1 to 3","Sometimes","Sometimes","Often","Low","Regular","High","Moderate","Often","Often","Sometimes","Quiet","2.5-3.0","<2.0",1,"B+"
"271","STUDENT271","<18 yrs","Male","Private","Need-based","No","No","Yes","<RS.20k","Public","House","No Schooling","No Schooling","4+","None","Laborer","Clerk","1 to 3","Sometimes","Often","Often","Low","Regular","Low","Moderate","Often","Sometimes","Often","Quiet","<2.0","<2.0",1,"D"
"272","STUDENT272","<18 yrs","Male","Public","Merit","No","No","No","RS.40k-RS.60k","Private","House","High School","Graduate","1","None","Manager","Clerk","1 to 3","Sometimes","Often","Never","Low","Regular","High","Low","Often","Often","Often","Quiet","2.0-2.5","2.0-2.5",1,"B"
"273","STUDENT273","<18 yrs","Male","Public","Merit","Yes","Yes","Yes","<RS.20k","Walk","House","Secondary","Primary","1","None","Clerk","Manager","5 to 7","Never","Never","Often","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Quiet","2.0-2.5","2.5-3.0",1,"B+"
"274","STUDENT274","<18 yrs","Male","Home School","Merit","Yes","No","No","<RS.20k","Walk","House","Secondary","High School","1","None","Manager","Laborer","3 to 5","Never","Never","Often","Low","Regular","High","Low","Often","Sometimes","Sometimes","Quiet","2.0-2.5","<2.0",1,"B"
"275","STUDENT275","<18 yrs","Male","Private","Full","No","No","Yes","<RS.20k","Public","Dorm","No Schooling","No Schooling","2","None","Laborer","Manager","1 to 3","Sometimes","Often","Often","Low","Regular","Moderate","Moderate","Often","Sometimes","Often","Moderate","2.0-2.5","3.0-3.5",1,"C+"
"276","STUDENT276","<18 yrs","Male","Private","Full","No","No","Yes","<RS.20k","Public","Dorm","No Schooling","Primary","2","None","Laborer","Manager","3 to 5","Sometimes","Sometimes","Often","Low","Regular","Moderate","Moderate","Often","Never","Often","Moderate","2.0-2.5","<2.0",1,"C"
"277","STUDENT277","<18 yrs","Male","Private","Need-based","Yes","No","Yes","<RS.20k","Private","Apartment","High School","Secondary","0","None","Clerk","Laborer","1 to 3","Never","Often","Often","Low","Regular","Moderate","Moderate","Often","Sometimes","Often","Quiet",">3.5","2.5-3.0",1,"D"
"278","STUDENT278","<18 yrs","Male","Home School","Need-based","Yes","No","Yes","<RS.20k","Public","Apartment","No Schooling","Primary","2","None","Laborer","Unemployed","5 to 7","Sometimes","Often","Often","Low","Regular","High","Low","Often","Sometimes","Often","Quiet",">3.5","<2.0",1,"C"
"279","STUDENT279","<18 yrs","Male","Home School","Need-based","Yes","Yes","No","<RS.20k","Public","Dorm","No Schooling","No Schooling","0","None","Laborer","Clerk","3 to 5","Never","Sometimes","Often","Low","Regular","Moderate","Low","Often","Often","Often","Moderate",">3.5","2.0-2.5",1,"D"
"280","STUDENT280","<18 yrs","Male","Home School","Merit","Yes","No","Yes","<RS.20k","Private","House","No Schooling","No Schooling","1","None","Manager","Clerk","1 to 3","Sometimes","Sometimes","Often","Low","Regular","Moderate","Low","Sometimes","Never","Sometimes","Quiet","2.0-2.5","2.5-3.0",1,"B+"
"281","STUDENT281","18-22 yrs","Male","Home School","Full","No","No","Yes","<RS.20k","Walk","Apartment","Secondary","Secondary","0","None","Laborer","Unemployed","1 to 3","Often","Sometimes","Never","High","Regular","Low","Low","Often","Often","Sometimes","Quiet","2.5-3.0","2.0-2.5",1,"C+"
"282","STUDENT282","<18 yrs","Male","Public","Full","No","No","No","<RS.20k","Private","House","Secondary","Secondary","2","None","Clerk","Manager","1 to 3","Sometimes","Sometimes","Often","Low","Regular","Moderate","Low","Often","Sometimes","Sometimes","Quiet","2.0-2.5","2.0-2.5",1,"C"
"283","STUDENT283","<18 yrs","Male","Public","Need-based","Yes","No","Yes","<RS.20k","Public","Dorm","Primary","Primary","1","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Never","Often","Quiet","2.0-2.5","3.0-3.5",1,"D"
"284","STUDENT284","<18 yrs","Male","Private","Merit","No","No","No",">RS.80k","Private","House","Secondary","No Schooling","0","One","Manager","Professional","5 to 7","Sometimes","Often","Often","High","Regular","Moderate","Low","Often","Sometimes","Often","Quiet","<2.0","2.5-3.0",1,"D"
"285","STUDENT285","<18 yrs","Male","Home School","Merit","No","Yes","No","RS.20k-RS.40k","Private","House","Secondary","Secondary","0","None","Professional","Manager","less than 1","Never","Sometimes","Often","Low","Irregular","Moderate","Low","Sometimes","Often","Sometimes","Quiet","<2.0","2.0-2.5",1,"C"
"286","STUDENT286","18-22 yrs","Male","Public","Full","No","No","Yes","<RS.20k","Public","Apartment","No Schooling","Primary","1","One","Laborer","Manager","3 to 5","Often","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Never","Sometimes","Quiet","2.5-3.0","2.5-3.0",1,"B+"
"287","STUDENT287","<18 yrs","Male","Public","Merit","Yes","Yes","Yes","<RS.20k","Walk","Apartment","No Schooling","No Schooling","4+","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Often","Low","Irregular","Moderate","Low","Often","Sometimes","Sometimes","Quiet",">3.5","2.5-3.0",1,"B"
"288","STUDENT288","<18 yrs","Male","Home School","Merit","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","High School","3","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Quiet","3.0-3.5","2.5-3.0",1,"C+"
"289","STUDENT289","18-22 yrs","Male","Private","Merit","No","No","No",">RS.80k","Private","House","High School","High School","0","None","Clerk","Clerk","1 to 3","Sometimes","Never","Never","Low","Regular","Moderate","Low","Sometimes","Never","Sometimes","Quiet",">3.5","2.5-3.0",1,"C"
"290","STUDENT290","<18 yrs","Male","Home School","Need-based","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","Secondary","No Schooling","4+","None","Laborer","Manager","1 to 3","Never","Never","Never","Low","Regular","High","Low","Often","Sometimes","Often","Quiet",">3.5","3.0-3.5",1,"B"
"291","STUDENT291","18-22 yrs","Female","Private","Full","No","Yes","Yes","<RS.20k","Public","Dorm","No Schooling","Primary","2","None","Laborer","Professional","less than 1","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Never","Moderate","<2.0","<2.0",1,"D"
"292","STUDENT292","18-22 yrs","Female","Home School","Full","No","Yes","Yes","<RS.20k","Public","Dorm","Primary","Secondary","1","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Often","Moderate","2.0-2.5","2.5-3.0",1,"B"
"293","STUDENT293","18-22 yrs","Female","Public","Full","Yes","Yes","Yes","RS.20k-RS.40k","Walk","Apartment","Primary","Primary","1","None","Laborer","Unemployed","3 to 5","Never","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Never","Quiet","2.0-2.5","2.0-2.5",1,"C+"
"294","STUDENT294","<18 yrs","Male","Public","Full","No","Yes","No","RS.20k-RS.40k","Public","Apartment","No Schooling","Primary","4+","None","Laborer","Unemployed","less than 1","Never","Sometimes","Never","Low","Regular","High","Moderate","Often","Sometimes","Sometimes","Quiet","2.5-3.0","2.0-2.5",1,"C+"
"295","STUDENT295","18-22 yrs","Female","Public","Full","Yes","Yes","No","RS.40k-RS.60k","Public","With Parents","Secondary","Secondary","1","None","Laborer","Manager","5 to 7","Never","Never","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","2.0-2.5","2.0-2.5",1,"C+"
"296","STUDENT296","18-22 yrs","Female","Home School","Full","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","Secondary","Secondary","1","None","Laborer","Clerk","less than 1","Never","Sometimes","Never","Low","Regular","High","Low","Never","Sometimes","Never","Moderate","3.0-3.5","3.0-3.5",1,"C+"
"297","STUDENT297","<18 yrs","Female","Private","Merit","Yes","Yes","Yes","<RS.20k","Public","House","No Schooling","Secondary","0","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Often","Low","Irregular","High","Low","Often","Often","Often","Noisy","3.0-3.5","3.0-3.5",1,"B"
"298","STUDENT298","<18 yrs","Male","Public","Full","No","No","No","RS.20k-RS.40k","Private","House","High School","Secondary","0","None","Manager","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Sometimes","Quiet","<2.0","<2.0",1,"B+"
"299","STUDENT299","18-22 yrs","Male","Private","Full","Yes","No","No","<RS.20k","Public","House","Primary","High School","1","None","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","2.5-3.0",1,"C+"
"300","STUDENT300","18-22 yrs","Male","Home School","Full","Yes","Yes","No","RS.40k-RS.60k","Walk","Apartment","No Schooling","Primary","2","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Moderate","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","2.0-2.5",1,"C"
"301","STUDENT301","<18 yrs","Male","Home School","Full","Yes","Yes","Yes","RS.40k-RS.60k","Private","House","Secondary","High School","1","None","Clerk","Laborer","less than 1","Never","Never","Never","Low","Irregular","High","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","<2.0",1,"B"
"302","STUDENT302","<18 yrs","Male","Home School","Merit","No","No","Yes","RS.60k-RS.80k","Private","House","Undergraduate","Undergraduate","0","None","Clerk","Laborer","1 to 3","Often","Often","Never","High","Regular","High","Moderate","Often","Never","Often","Noisy","3.0-3.5","2.5-3.0",1,"D"
"303","STUDENT303","<18 yrs","Male","Public","Merit","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","Undergraduate","3","One","Laborer","Laborer","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Noisy","3.0-3.5","2.0-2.5",1,"C"
"304","STUDENT304","18-22 yrs","Male","Private","Need-based","Yes","Yes","Yes","<RS.20k","Public","Dorm","Primary","Primary","1","None","Laborer","Clerk","1 to 3","Sometimes","Never","Never","Low","Irregular","High","Low","Often","Sometimes","Often","Noisy","3.0-3.5","2.0-2.5",1,"D"
"305","STUDENT305",">20 yrs","Female","Home School","Merit","No","No","Yes","RS.40k-RS.60k","Walk","Apartment","Secondary","No Schooling","1","None","Manager","Unemployed","5 to 7","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Often","Sometimes","Quiet","3.0-3.5","3.0-3.5",1,"B+"
"306","STUDENT306","18-22 yrs","Female","Home School","Full","Yes","Yes","Yes","<RS.20k","Public","Apartment","High School","High School","1","None","Clerk","Unemployed","5 to 7","Sometimes","Sometimes","Often","High","Irregular","High","Low","Often","Sometimes","Sometimes","Noisy","2.0-2.5","2.0-2.5",1,"C+"
"307","STUDENT307","<18 yrs","Male","Home School","Need-based","Yes","No","Yes","<RS.20k","Public","Dorm","Primary","Primary","3","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","High","Low","Often","Sometimes","Often","Noisy","3.0-3.5","2.5-3.0",1,"B"
"308","STUDENT308","18-22 yrs","Female","Public","Full","Yes","Yes","Yes","<RS.20k","Public","Dorm","Primary","Primary","1","None","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Often","Low","Irregular","High","Low","Sometimes","Sometimes","Sometimes","Moderate","2.0-2.5","2.0-2.5",1,"B"
"309","STUDENT309","<18 yrs","Male","Public","Merit","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","Primary","Primary","4+","None","Laborer","Professional","3 to 5","Often","Sometimes","Often","Low","Irregular","High","Low","Often","Never","Often","Noisy","2.5-3.0","2.5-3.0",1,"B+"
"310","STUDENT310","<18 yrs","Female","Private","Full","Yes","Yes","No","RS.20k-RS.40k","Private","Apartment","Secondary","Secondary","2","None","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Moderate","Regular","Moderate","Low","Often","Sometimes","Sometimes","Noisy","2.0-2.5","2.5-3.0",1,"C+"
"311","STUDENT311","<18 yrs","Female","Home School","Need-based","No","Yes","No","<RS.20k","Walk","Apartment","Secondary","Secondary","2","One","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Often","Low","Regular","High","Moderate","Often","Never","Sometimes","Noisy","3.0-3.5","3.0-3.5",1,"D"
"312","STUDENT312","<18 yrs","Female","Home School","Need-based","Yes","Yes","No","<RS.20k","Walk","Apartment","Primary","Primary","3","None","Laborer","Clerk","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Never","Often","Noisy","2.5-3.0","2.5-3.0",1,"B"
"313","STUDENT313","18-22 yrs","Female","Home School","Full","No","Yes","No","<RS.20k","Public","Dorm","No Schooling","No Schooling","3","One","Laborer","Manager","less than 1","Often","Often","Never","Low","Regular","High","Moderate","Often","Never","Sometimes","Noisy","2.5-3.0","2.5-3.0",1,"D"
"314","STUDENT314",">20 yrs","Female","Home School","Partial","No","No","Yes",">RS.80k","Public","Dorm","No Schooling","High School","2","None","Laborer","Unemployed","5 to 7","Sometimes","Often","Never","Low","Irregular","Low","Low","Often","Sometimes","Often","Noisy","2.5-3.0","2.5-3.0",1,"C"
"315","STUDENT315","18-22 yrs","Female","Private","Full","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","Secondary","No Schooling","2","None","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Never","Often","Moderate","3.0-3.5","3.0-3.5",1,"B"
"316","STUDENT316","18-22 yrs","Female","Home School","Full","Yes","Yes","No","<RS.20k","Public","Apartment","No Schooling","High School","2","None","Laborer","Manager","3 to 5","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Never","Often","Moderate","<2.0","2.0-2.5",1,"B"
"317","STUDENT317","18-22 yrs","Female","Public","Full","Yes","No","No","<RS.20k","Public","Dorm","High School","High School","3","None","Laborer","Manager","less than 1","Often","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Often","Moderate","2.0-2.5","<2.0",1,"D"
"318","STUDENT318","<18 yrs","Female","Public","Full","No","Yes","Yes","<RS.20k","Public","Dorm","No Schooling","No Schooling","3","None","Laborer","Clerk","5 to 7","Sometimes","Sometimes","Never","Low","Irregular","High","Low","Often","Never","Sometimes","Quiet","2.0-2.5","<2.0",1,"C"
"319","STUDENT319",">20 yrs","Female","Private","Full","Yes","Yes","No","<RS.20k","Walk","Apartment","Primary","Primary","3","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Noisy",">3.5","3.0-3.5",1,"C+"
"320","STUDENT320","18-22 yrs","Female","Home School","Merit","Yes","Yes","Yes","<RS.20k","Walk","Apartment","Secondary","Secondary","1","None","Manager","Unemployed","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","2.5-3.0",1,"B+"
"321","STUDENT321","18-22 yrs","Female","Home School","Need-based","No","No","No","<RS.20k","Public","Apartment","No Schooling","No Schooling","4+","None","Laborer","Manager","5 to 7","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Often","Often","Noisy",">3.5","3.0-3.5",1,"C"
"322","STUDENT322",">20 yrs","Female","Public","Full","No","Yes","Yes","<RS.20k","Public","Apartment","No Schooling","Primary","3","None","Laborer","Clerk","1 to 3","Sometimes","Often","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Noisy","3.0-3.5","2.5-3.0",1,"C"
"323","STUDENT323","18-22 yrs","Male","Private","Full","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","Primary","Primary","1","None","Laborer","Unemployed","5 to 7","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","2.0-2.5","2.5-3.0",1,"C+"
"324","STUDENT324","18-22 yrs","Male","Private","Full","No","Yes","No","<RS.20k","Public","Dorm","No Schooling","Primary","4+","None","Laborer","Clerk","3 to 5","Never","Sometimes","Never","Low","Regular","High","Low","Never","Often","Sometimes","Moderate","2.0-2.5","2.5-3.0",1,"C+"
"325","STUDENT325","<18 yrs","Female","Public","Full","Yes","Yes","No","RS.20k-RS.40k","Public","Dorm","Secondary","Secondary","2","None","Laborer","Manager","1 to 3","Never","Never","Never","Low","Irregular","Moderate","Low","Sometimes","Sometimes","Often","Quiet","3.0-3.5","<2.0",1,"B+"
"326","STUDENT326","<18 yrs","Female","Private","Merit","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","No Schooling","Primary","4+","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Moderate","Low","Sometimes","Never","Often","Quiet","<2.0","<2.0",1,"D"
